State Name,UVPbitNoPage,SMBAlert,UVP0,Pok,Vmain,UVP1,readPage
268,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
269,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
270,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
271,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
272,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
273,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
274,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
275,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
276,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
277,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
278,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
279,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
280,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,01
281,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,01
282,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
283,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
284,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
285,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,01
286,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,01
287,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,01
288,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,01
289,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
290,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
291,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
292,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
293,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
294,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
