State Name,UVP0,UVP1,readPage,Pok,SMBAlert,Vmain,UVPbitNoPage
256,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
257,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
258,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
259,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
260,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
261,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
262,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
263,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
264,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
265,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
266,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
267,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
268,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
269,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
270,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
271,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
272,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
273,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
274,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
275,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
276,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
277,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
278,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
279,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
280,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
281,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
282,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
283,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
284,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
285,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
286,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
287,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
288,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
289,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
290,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
291,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
292,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
293,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
294,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
295,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
296,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
297,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
298,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
